OBJECTID,StopId,StopName,Lat,Lon
1,5217,PICKFORDE DR & BETHEL RD,40065959,-83086596
2,6845,2425 BETHEL RD,40064526,-83084106
3,5225,BETHEL RD & WOOD RUN BLVD,40064408,-83080785
4,5609,BETHEL RD & HEDGEROW RD,40064300,-83077475
5,5218,BETHEL RD & DIERKER RD,40064184,-83074360
6,5608,BETHEL RD & OLGATE LN,40064068,-83070427
7,5771,BETHEL RD & REED RD,40063890,-83066030
8,5772,BETHEL RD & PORTLAND ST,40063794,-83061802
9,6532,GODOWN RD & BETHEL RD,40062780,-83056846
10,3454,GODOWN RD & LANGLAND DR,40061304,-83053138
11,3455,GODOWN RD & CHEVIOT DR,40060213,-83051327
12,3472,KENNY RD & WEYBRIDGE RD,40056670,-83049470
13,3474,KENNY RD & MERRIMAR CIR N,40054042,-83049669
14,3476,KENNY RD & FOLKESTONE RD,40050478,-83049884
15,3478,KENNY RD & WINDHAM RD,40046527,-83050149
16,3480,KENNY RD & PARKLEIGH RD,40043228,-83050394
17,3482,KENNY RD & MCCOY RD,40040292,-83050605
18,3484,KENNY RD & MILLCREEK LN,40036631,-83050863
19,6039,KENNY RD & RUE DE FLEUR,40030900,-83049521
20,3488,W NORTH BROADWAY & CLEARVIEW AVE,40028730,-83045614
21,3489,W NORTH BROADWAY & SHATTUCK AVE,40029015,-83042568
22,3490,W NORTH BROADWAY & RIVERSIDE HOSP,40029301,-83034629
23,6364,RIVERSIDE HOSPITAL,40032262,-83032227
24,3662,3440 OLENTANGY RIVER RD,40029064,-83029427
25,3491,OLENTANGY RIVER RD & UNION CEMETERY,40027108,-83027846
26,6945,OLENTANGY RIVER RD & RIVERVIEW DR,40024316,-83026198
27,7128,OLENTANGY RIVER RD & HARLEY DR,40020425,-83024769
28,6778,2825 OLENTANGY RIVER RD,40018712,-83024156
29,7547,OLENTANGY RIVER RD & ACKERMAN RD,40015379,-83022838
30,6352,OLENTANGY RIVER RD & ARGYLL ST,40011504,-83022319
